gene,outcome,gsmr_beta,gsmr_se,gsmr_pval,gsmr_nsnp,heidi_out,Q_MR_Egger,Q_Inverse_variance_weighted,Q_df_MR_Egger,Q_df_Inverse_variance_weighted,Q_pval_MR_Egger,Q_pval_Inverse_variance_weighted,nsnp,b_MR_Egger,b_Weighted_median,b_Inverse_variance_weighted,b_Simple_mode,se_MR_Egger,se_Weighted_median,se_Inverse_variance_weighted,se_Simple_mode,pval_MR_Egger,pval_Weighted_median,pval_Inverse_variance_weighted,pval_Simple_mode,r2_exposure,r2_oucome,correct_dir,steiger_pval,H3,H4,causal_snp,pleiotropy_egger_intercept,pleiotropy_se,pleiotropy_pval,mrpresso_pval,adjp_MR_Egger,adjp_Weighted_median,adjp_Inverse_variance_weighted,adjp_Simple_mode,is_candidate
ABCA3,T2D_GSMR,0.0549896,0.0203784,0.00696693,5,0.037921720706896554,7.33736,10.95362,3,4,0.061888,0.0270903,5,0.0136326,0.0453729,0.0611486,0.039222,0.0485258,0.0234381,0.0304431,0.0289375,0.7970219,0.052885,0.0445775,0.2467709,0.0180615,2.97e-5,TRUE,0,0.0605376694880613,6.3872008911471e-4,rs17135889,0.0078804,0.0064808,0.310951,0.105,0.8906479665662649,0.06385788445890969,0.05603450804403048,0.35554176271844656,FALSE
AAR2,T2D_GSMR,-0.0311375,0.00970522,0.00133509,7,0.010458757146401985,32.73695,34.80227,7,8,2.96e-5,2.9e-5,9,-0.0588583,-0.0407269,-0.0460217,-0.0414591,0.028963,0.0118266,0.020814,0.0188497,0.0816483,5.739e-4,0.0270296,0.0590436,0.082853,7.43e-5,TRUE,0,0.997843540123805,1.0844705014717e-4,rs115989692,0.0046788,0.0070406,0.5276199,0.004,0.2933803322033898,0.001477570190641248,0.037003622140221404,0.17951483132530122,FALSE
ABCA1,T2D_GSMR,-0.0673694,0.016172,3.10236e-5,13,4.6198823207547167e-4,23.91782,41.98314,13,14,0.0318945,1.244e-4,15,0.0962047,-0.0538948,-0.0583265,-0.046851,0.052467,0.0200142,0.0228659,0.0347839,0.0896987,0.0070847,0.0107474,0.1994076,0.0392832,8.16e-5,TRUE,0,0.999999919872895,2.08314977843331e-10,rs4556142,-0.0179431,0.0057262,0.0079188,0.001,0.30262099,0.011341634088457389,0.017205114994606256,0.30729063177570093,FALSE
ABCB9,T2D_GSMR,-0.0975899,0.0119587,3.33476e-16,17,5.1776249114754095e-14,35.88077,37.65265,17,18,0.0047575,0.0043045,19,-0.0802131,-0.0924051,-0.0971388,-0.0503123,0.0225258,0.0131106,0.0128328,0.0270314,0.0024043,0,0,0.0791217,0.0964372,2.105e-4,TRUE,0,0.985300744325248,0.014699255665126,rs11608811,-0.0035323,0.0038552,0.3723542,0.018,0.07433294166666667,0,0,0.2005544962457338,FALSE
ABCC5,T2D_GSMR,0.0294349,0.00414811,1.28432e-12,50,1.076442010619469e-10,111.3344,155.2457,59,60,4.54e-5,0,61,-0.0021636,0.0301524,0.0341285,0.0353384,0.0090116,0.0063199,0.0058088,0.0119372,0.8110927,1.8e-6,0,0.0043953,0.4873418,3.605e-4,TRUE,0,0.998672552708592,0.00132527982205912,rs1520195,0.0111426,0.0023099,1.03e-5,<0.001,0.8959266854166668,1.131864406779661e-5,0,0.07497270344827586,FALSE
ABCF2,T2D_GSMR,0.0431282,0.0138068,0.00178599,9,0.013102332525174284,19.99351,21.40497,7,8,0.0055837,0.006146,9,0.0165197,0.050459,0.0414679,0.0423251,0.0405241,0.0143293,0.0189342,0.0355874,0.6957086,4.293e-4,0.028517,0.2684104,0.0553693,4.54e-5,TRUE,0,0.00643596399570483,0.0455887202258596,rs2252694,0.0047351,0.0067357,0.5047716,0.031,0.8187403349722443,0.0011625569343065693,0.03856575409836066,0.3775554820853081,FALSE
ABP1,T2D_GSMR,0.0147095,0.0051511,0.00429562,39,0.0258638379020979,126.0453,128.0535,41,42,0,0,43,0.0273959,0.0115426,0.0174976,0.0179907,0.0148822,0.007384,0.0084201,0.01221,0.0728889,0.1180065,0.0377037,0.1480868,0.3186984,1.903e-4,TRUE,0,0.999999999653483,8.86627888165617e-13,rs7806458,-0.0023446,0.0029009,0.4236321,<0.001,0.27950162170542636,0.13119049108614234,0.04865416591304348,0.2651795223160434,FALSE
ABO,T2D_GSMR,-0.0232104,0.00477373,1.16141e-6,26,2.5942721957547175e-5,168.9509,170.1906,22,23,0,0,24,-0.0303884,-0.017379,-0.0249483,-0.0214889,0.0169138,0.0078599,0.0099495,0.0196303,0.0861331,0.02703,0.0121596,0.2849884,0.505172,2.919e-4,TRUE,0,0.999999996230031,3.77000877792542e-9,rs550057,0.0019287,0.0048005,0.6917215,<0.001,0.2994354032786885,0.03534142731277533,0.01901459051633298,0.3915810619796485,FALSE
ACADVL,T2D_GSMR,-0.0379228,0.0105175,3.11333e-4,14,0.003229984445783132,53.96101,54.43014,14,15,1.3e-6,2.2e-6,16,-0.055544,-0.0673775,-0.0434568,-0.0781579,0.0388187,0.0139931,0.016988,0.0283444,0.1744129,1.5e-6,0.0105252,0.014665,0.0834711,1.044e-4,TRUE,0,0.87286044955745,0.0192667444862983,rs507506,0.0024339,0.0069763,0.7323739,0.001,0.40441991187500004,9.512820512820512e-6,0.01690410909090909,0.12253171235955057,FALSE
ACER3,T2D_GSMR,0.01756,0.00652162,0.00709011,20,0.03841557883867277,28.36445,28.3728,20,21,0.1010488,0.1298914,22,0.0113617,0.0134745,0.0121011,8.685e-4,0.0117833,0.0084299,0.006619,0.0147881,0.3464488,0.1099476,0.0675133,0.953723,0.2360446,4.53e-5,TRUE,0,0.00840983363576491,0.0207129265685476,rs7110532,2.628e-4,0.0034246,0.9396004,0.15,0.5868363587301587,0.12314131200000002,0.08152134841334419,0.9647750047716427,FALSE
ACOT7,T2D_GSMR,0.0460214,0.0169156,0.00651553,7,0.03593976973209086,14.95634,15.09325,6,7,0.020599,0.0348224,8,0.0393631,0.0442238,0.046896,0.0589435,0.0386439,0.0171287,0.019953,0.0314902,0.3476882,0.0098271,0.0187574,0.1034031,0.0379806,3.62e-5,TRUE,0,0.458698678032049,0.0029775623728038,rs6663299,0.0015848,0.0067621,0.8224954,0.114,0.5868363587301587,0.014865867889908256,0.02739761968503937,0.22110979884726226,FALSE
ACSM3,T2D_GSMR,-0.0663764,0.0196779,7.43167e-4,7,0.0065742169029850755,7.430589,7.683395,5,6,0.1905352,0.2622281,7,-0.0848715,-0.0733098,-0.0690256,-0.1091628,0.0436764,0.021739,0.0192843,0.0398638,0.1096218,7.455e-4,3.444e-4,0.0338075,0.0232598,3.21e-5,TRUE,0,0.00967748734305133,0.0432217491082325,rs2071524,0.0025392,0.0061565,0.6971007,0.361,0.31672363650485436,0.0018346965174129352,0.001092071794871795,0.14931645833333332,FALSE
